"Cell","h","monocle3_pseudotime","UMAP1","UMAP2","cluster","partition"
110,0,0,4.43410301208496,1.15079641342163,"1","1"
109,0,0.00398770054583242,4.25578355789185,0.013842087239027,"1","1"
114,0,0.00703720106685002,4.42598724365234,1.15378963947296,"1","1"
623,48,0.0072191138813249,4.42523527145386,-0.0690027326345444,"1","1"
327,6,0.00722610884161679,4.58208703994751,0.676060736179352,"1","1"
240,1,0.00723310380190867,4.51659727096558,0.182380557060242,"1","1"
227,1,0.00724009876220055,4.93669652938843,0.644732892513275,"1","1"
222,1,0.00724709372249244,4.95587491989136,0.88056081533432,"1","1"
186,1,0.00725408868278432,4.73088550567627,0.820248544216156,"1","1"
148,1,0.0072610836430762,4.71210718154907,0.589637994766235,"1","1"
119,0,0.00726807860336809,4.44130945205688,0.386149734258652,"1","1"
106,0,0.00727507356365997,4.32440042495728,0.162045121192932,"1","1"
105,0,0.00728206852395186,4.58859586715698,0.049712385982275,"1","1"
95,0,0.00728906348424374,4.41699457168579,0.514962077140808,"1","1"
94,0,0.00729605844453562,4.64137554168701,0.36403101682663,"1","1"
91,0,0.00730305340482751,4.33177661895752,0.059664711356163,"1","1"
85,0,0.00731004836511939,4.56695222854614,0.319439053535461,"1","1"
79,0,0.00731704332541128,4.30917692184448,0.18115858733654,"1","1"
77,0,0.00732403828570316,4.65671300888062,0.58860057592392,"1","1"
72,0,0.00733103324599504,4.53629159927368,0.358198374509811,"1","1"
71,0,0.00733802820628693,4.49567270278931,0.352892369031906,"1","1"
68,0,0.00734502316657881,4.64088869094849,0.990530908107758,"1","1"
61,0,0.0073520181268707,4.50292444229126,0.368697106838226,"1","1"
59,0,0.00735901308716258,4.41564178466797,0.711132347583771,"1","1"
54,0,0.00736600804745446,4.46082925796509,0.253367722034454,"1","1"
41,0,0.00737300300774635,4.52143383026123,1.03711819648743,"1","1"
32,0,0.00737999796803823,4.67781019210815,0.863548874855042,"1","1"
30,0,0.00738699292833012,4.57491731643677,0.237345233559608,"1","1"
17,0,0.007393987888622,4.55446767807007,0.510071098804474,"1","1"
550,24,0.0152285197877364,4.24279356002808,0.0789236575365067,"1","1"
22,0,0.0166782910395644,4.18137741088867,-0.291303604841232,"1","1"
99,0,0.0258729727408316,4.38161611557007,1.02121663093567,"1","1"
175,1,0.0266351462455456,4.81426525115967,1.0121659040451,"1","1"
542,24,0.0336545151486203,4.20394515991211,-0.0224830433726311,"1","1"
66,0,0.0380020400706176,4.53809356689453,1.1446578502655,"1","1"
97,0,0.0473581867058814,4.33063793182373,0.867801010608673,"1","1"
37,0,0.0510553205742172,4.21369171142578,0.169985696673393,"1","1"
166,1,0.0561996900464936,4.25553178787231,0.468661695718765,"1","1"
25,0,0.0577525645090875,4.18186616897583,0.0231908150017262,"1","1"
533,24,0.0840671321543567,4.27979612350464,0.830683290958405,"1","1"
